ARMARIO	BKT	ALIADA
GOGNA_O1B98	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1C15	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C07	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C05	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C17	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C30	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B68	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C16	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C18	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B85	BKT_GOIANIA_ABILITY	ABILITY
GOACG_G1I30	BKT_APARECIDA_GOIANIA	ONDACOM
GOJTI_G1I01	BKT_JATAI	ONDACOM
GOACG_G1I30	BKT_APARECIDA_GOIANIA	ONDACOM
GOCTL_G1I01	BKT_CATALAO	ONDACOM
GOCLV_G1I01	BKT_CALDAS_NOVAS	ONDACOM
GOACG_G1I09	BKT_APARECIDA_GOIANIA	ONDACOM
GORVD_G1M02	BKT_RIO_VERDE_FIBRA	ONDACOM
GOTDA_G1N01	BKT_TRINDADE	ABILITY
GOACG_G1I08	BKT_APARECIDA_GOIANIA	ONDACOM
GOGNA_O1C23	BKT_GOIANIA_ONDACOM	ONDACOM
GOMNI_G1I01	BKT_MINEIROS	ONDACOM
GORVD_G1I03	BKT_RIO_VERDE_FIBRA	ONDACOM
GOMIH_G1I01	BKT_MORRINHOS	ONDACOM
GOACG_G1M05	BKT_APARECIDA_GOIANIA	ONDACOM
GOIUS_G1I01	BKT_INHUMAS	ABILITY
GOGNA_O1B46	BKT_GOIANIA_ONDACOM	ONDACOM
GOACG_O1C51	BKT_APARECIDA_GOIANIA	ONDACOM
GOIEI_G1I01	BKT_ITABERAI	ABILITY
GORVD_O1A15	BKT_RIO_VERDE_FIBRA	ONDACOM
GOGNA_G1M10	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1I67	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_G1N69	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B23	BKT_GOIANIA_ONDACOM	ONDACOM
GORVD_G1M04	BKT_RIO_VERDE_FIBRA	ONDACOM
GOACG_O1B75	BKT_APARECIDA_GOIANIA	ONDACOM
GOGNA_O1B22	BKT_GOIANIA_ABILITY	ABILITY
GOACG_O1A54	BKT_APARECIDA_GOIANIA	ONDACOM
GOIUB_G1I01	BKT_ITUMBIARA	ONDACOM
